scenario,scenario_label,horizon_region,sex,seeds,full_annual_mare_pct,observed_annual_mare_pct,mare_difference_pct,full_recovery_ratio,observed_recovery_ratio,recovery_difference
up1pc,↑ 1% p.a.,Credible,Total,200,5.860720387047181,7.112724445435234,1.252004058388053,1.0235794460743268,1.0245664488427133,0.0029867489885319065
up1pc,↑ 1% p.a.,Caution,Total,200,7.512630920548456,8.554373366615447,1.0417424460669913,1.0098732507653363,1.0077733651017016,-0.0033714265423697154
up1pc,↑ 1% p.a.,Risky,Total,200,11.491605664925045,12.376744301416624,0.8851386364915793,0.9987442393657125,0.9871267727468479,-0.01199607009010506
down1pc,↓ 1% p.a.,Credible,Total,200,5.471408317293562,6.561033900913973,1.0896255836204105,1.014866239450134,1.0073175776217993,3.380649561265936e-4
down1pc,↓ 1% p.a.,Caution,Total,200,7.422918987640533,8.346592219512244,0.9236732318717121,1.0016150052150041,0.991147746280533,-0.006903693299189995
down1pc,↓ 1% p.a.,Risky,Total,200,11.320956613724475,12.151550844937498,0.8305942312130237,0.9917894090938284,0.9736149627878239,-0.01547356604974065
quit,Quit,Credible,Total,200,4.5829415558974045,5.602599162554722,1.0196576066573173,0.9912018389542974,0.9816383408397686,-0.005696359538053586
quit,Quit,Caution,Total,200,7.257988905644251,8.23109505260647,0.9731061469622178,0.992018212974094,0.9694844899261447,-0.011937451747308037
quit,Quit,Risky,Total,200,10.99505500861754,11.858887530075378,0.8638325214578383,0.9798868411871762,0.9645332809778019,-0.01702339013002685
