sex_label,model_label,model,WAIC,DIC,LCPO,dLCPO,se_dLCPO,BT_LPD,BT_RMSE
Male,Prevalence APC,Prevalence BAPC,3351.1315655120893,3348.3540089754033,-1675.9941004463685,NA,NA,NA,NA
Male,Incidence BAPC benchmark,Incidence benchmark (APC),5885.438970864919,5912.454699910635,-2942.7232947639836,NA,NA,0,22.01872037393139
Male,SBAPC incidence layer,Incidence prevalence-informed,5881.656005624866,5904.529554042721,-2940.8303720663857,1.8929226975976234,0.4455407907592855,0,22.079758555204435
Male,Mortality BAPC benchmark,Mortality benchmark (APC),6237.920011214037,6271.1732365130165,-3118.982871225863,NA,NA,0,18.428016022932493
Male,SBAPC mortality layer,Mortality anchored on I|P,6238.721549096875,6266.326667204719,-3119.374983591258,-0.39211236539520755,2.913593782646536,0,18.42761867733872
Male,Incidence-anchored mortality layer,Mortality anchored on I only,6241.49733843062,6271.157298008932,-3120.7665188126507,-1.7836475867874333,2.917034506068814,0,18.415935061550545
Female,Prevalence APC,Prevalence BAPC,3402.6775066227715,3398.3243145982924,-1702.311339056497,NA,NA,NA,NA
Female,Incidence BAPC benchmark,Incidence benchmark (APC),4423.663510277762,4452.428128217206,-2211.8366303092157,NA,NA,0,8.295798003127654
Female,SBAPC incidence layer,Incidence prevalence-informed,4423.595285292141,4450.6020536177875,-2211.8016971483316,0.03493316088429235,0.44424821748710946,0,8.319611019476056
Female,Mortality BAPC benchmark,Mortality benchmark (APC),4617.303220796542,4644.67099507306,-2308.6624669083185,NA,NA,0,6.8352095483755795
Female,SBAPC mortality layer,Mortality anchored on I|P,4602.525350212518,4625.943002544622,-2301.2685797018876,7.393887206430852,3.8131102400247463,0,6.599656551012923
Female,Incidence-anchored mortality layer,Mortality anchored on I only,4605.635378375092,4632.263555892439,-2302.8263271893707,5.836139718947736,3.768893226717748,0,6.577121702617369
