object,horizon_region,seeds,recovery_ratio_median,recovery_ratio_q25,recovery_ratio_q75,annual_mare_pct_mean,annual_bias_pct_mean
Effective exposure,Credible,200,0.9242061352620801,0.8945248192429902,0.9497518696369993,7.841312051736427,-7.759493692601564
Effective exposure,Caution,200,0.9243757635383356,0.8988607140375082,0.9531702656936516,7.545238859707558,-7.445902305131124
Effective exposure,Risky,200,0.9257680939351335,0.9005090823991103,0.9579238551765616,7.498117688493303,-7.385444358816286
Incident cases,Credible,200,0.98728071796164385,0.9603958106691359,1.0230939531595835,4.213098896045347,-0.865693665557545
Incident cases,Caution,200,0.9797886252173801,0.9132127558335602,1.0591169748615274,7.9557130433243914,-1.5932963998768734
Incident cases,Risky,200,0.9777262766424395,0.8741911091659216,1.0769622142500532,11.900262879058802,-1.795495956922759
Incidence-linked expected deaths,Credible,200,0.988998874569609,0.9655726921196596,1.0216152204191973,3.709072812828383,-0.7421008200047542
Incidence-linked expected deaths,Caution,200,0.9785304767100047,0.9168715483905474,1.0569637137811865,7.670584601691063,-1.4994676116924435
Incidence-linked expected deaths,Risky,200,0.9824109786756934,0.8775579180479931,1.0789044566637738,11.669131563929941,-1.6805984042287547
Mortality deaths,Credible,200,0.9912447143074549,0.9657966405740486,1.0204768746937058,3.709729455717828,-0.5537411239799176
Mortality deaths,Caution,200,0.988928522056769,0.9225766232857162,1.0602469036804623,7.6511529643656715,-1.0335261393169868
Mortality deaths,Risky,200,0.9838721239789425,0.8852429853778336,1.0852783192080246,11.618990364325612,-1.0133733339399589
