scenario,scenario_label,horizon_region,sex,seeds,true_cumulative_median,true_cumulative_q25,true_cumulative_q75,estimated_cumulative_median,estimated_cumulative_q25,estimated_cumulative_q75,recovery_ratio_median,recovery_ratio_q25,recovery_ratio_q75,annual_mare_pct_mean,annual_mare_pct_sd,sign_agreement_pct_mean
up1pc,↑ 1% p.a.,Credible,Total,200,4371.279433788433,3231.991830023884,5587.07997866703,4508.842993425189,3341.0386353232666,5823.6304491826295,1.0245664488427133,0.9633034252671796,1.0882077323216002,7.112724445435234,4.670528594749487,100
up1pc,↑ 1% p.a.,Caution,Total,200,8139.7776680916895,6153.899721931999,10848.084806887739,8337.64039845251,6211.808562371409,10581.744956701068,1.0077733651017016,0.9210350269538158,1.0777793807047436,8.554373366615447,5.586070053346492,100
up1pc,↑ 1% p.a.,Risky,Total,200,46806.934288336524,35816.78086620486,61293.71012302035,46878.00464538056,35844.518022048804,60313.85095135686,0.9871267727468479,0.8829697258672792,1.0998954369216005,12.376744301416624,8.192380857801988,100
down1pc,↓ 1% p.a.,Credible,Total,200,-3893.602304888296,-5028.368484677778,-2882.116192467597,-3927.773590158976,-5087.867566447003,-2923.3875683352644,1.0073175776217993,0.9521244862717811,1.0661755782354683,6.561033900913973,4.449557735808368,100
down1pc,↓ 1% p.a.,Caution,Total,200,-6752.582150651968,-9005.658066039483,-5085.949120654981,-6874.447136817074,-8666.246001656207,-5148.36501506915,0.991147746280533,0.9143864024238592,1.0644393817847637,8.346592219512244,5.535414442249779,100
down1pc,↓ 1% p.a.,Risky,Total,200,-33780.70384370256,-44454.332218377356,-25804.75069908392,-33463.657053184405,-42975.40908868647,-25527.092210089097,0.9736149627878239,0.8781147137878467,1.08751292843404,12.151550844937498,8.039236261173459,100
quit,Quit,Credible,Total,200,-42489.07392997027,-55488.858654757525,-30992.053062209583,-41599.295175691936,-53477.41136395214,-31191.23074877797,0.9816383408397686,0.9359820208133925,1.022904789937248,5.602599162554722,3.807279979934221,100
quit,Quit,Caution,Total,200,-43243.9166231447,-58643.886639886754,-33734.69646849936,-43531.2221153688,-55797.164185822556,-32649.44995465425,0.9694844899261447,0.9008421505851534,1.0398096876975795,8.23109505260647,5.448293071065907,100
quit,Quit,Risky,Total,200,-129743.13394043199,-177092.72824963866,-103432.50991168694,-126737.7382480297,-166462.44200614383,-99822.10194612647,0.9645332809778019,0.8657000717997361,1.0653491867669949,11.858887530075378,7.734650988260969,100
